headline,date,ticker,datetime_utc,company_name,permno,cusip,ret,ret_fd1,ret_fd2,ret_fd3,ret_fd5,ret_fd10,ret_fd30,ret_fd60,ret_ld1,ret_ld2,ret_ld3,ret_ld5,ret_ld10,ret_ld30,ret_ld60,Mkt-RF,SMB,HML,RF,PERMNO,n,RET,alpha,b_mkt,b_smb,b_hml,ivol,tvol,R2,exret,headline_word_count
DHT Holdings Reports ~725K Share Buyback At Average Price Of $4.47,2019-04-01,DHT,2019-04-01 20:33:00+00:00,D H T HOLDINGS INC,90943.0,Y2065G12,0.02914800681173801,0.015250477939844131,-0.015250580957653637,-0.017429175996668378,0.06535941461449646,0.10457516542796608,0.2854030279065731,0.2518197627526235,0.006772056687623262,-0.013274324191470788,-0.01978025286896412,-0.01545257620177709,-0.021929804257032726,0.11147646574729753,0.1142207811866045,1.19,-0.3,0.99,0.01,90943,252,2.9148%,0.0016,0.9802,0.9356,0.5275,2.1894%,2.4260%,18.5512%,1.5516%,11
UPDATE: Dynavax Says 'Combination of SD-101 with domatinostat showed better results than combinations of SD-101 with competing HDAC inhibitors',2019-04-01,DVAX,2019-04-01 17:02:00+00:00,DYNAVAX TECHNOLOGIES CORP,90029.0,26815820,0.01504789758473635,0.01886790618300438,-0.05256062680696483,-0.02964962916751457,-0.04312670600246704,-0.08760108922553889,-0.08894876039091282,-0.49056603764325235,0.028129367157816887,0.032485878175886995,0.026685400943477156,0.029577469528937028,-0.08165830219009829,-0.3064516182762471,-0.2264550216815413,1.19,-0.3,0.99,0.01,90029,252,1.5048%,-0.004,1.0755,1.8025,-0.9751,3.2690%,3.7893%,25.5773%,1.7775%,19
Dynavax Reports Combo Of 4SC's 202 With Co.'s SD-101 'induced a systemic anti-tumoral immune response in tumor mouse models',2019-04-01,DVAX,2019-04-01 17:02:00+00:00,DYNAVAX TECHNOLOGIES CORP,90029.0,26815820,0.01504789758473635,0.01886790618300438,-0.05256062680696483,-0.02964962916751457,-0.04312670600246704,-0.08760108922553889,-0.08894876039091282,-0.49056603764325235,0.028129367157816887,0.032485878175886995,0.026685400943477156,0.029577469528937028,-0.08165830219009829,-0.3064516182762471,-0.2264550216815413,1.19,-0.3,0.99,0.01,90029,252,1.5048%,-0.004,1.0755,1.8025,-0.9751,3.2690%,3.7893%,25.5773%,1.7775%,19
"Edap TMS Q4 EPS $0.04, Sales $15.109M Beat $11.57M Estimate",2019-04-01,EDAP,2019-04-01 20:49:00+00:00,EDAP T M S S A,85285.0,26831110,-0.003333330154418945,0.4214046895503998,0.4648829882941261,0.5317725582981065,0.6086956410776037,0.7591974106008796,0.45484948134160574,-0.07357858966469255,0.0204081442207098,0.016949136929560016,0.051229919442289384,0.027397235042953882,0.027397234918091984,0.06007069896911399,0.6042780655345312,1.19,-0.3,0.99,0.01,85285,252,-0.3333%,0.0019,0.9696,0.5967,0.1536,5.1830%,5.2840%,3.7851%,-1.5586%,10
EDAP Q4 EPS €0.04 vs €0.00 YoY,2019-04-01,EDAP,2019-04-01 20:36:00+00:00,EDAP T M S S A,85285.0,26831110,-0.003333330154418945,0.4214046895503998,0.4648829882941261,0.5317725582981065,0.6086956410776037,0.7591974106008796,0.45484948134160574,-0.07357858966469255,0.0204081442207098,0.016949136929560016,0.051229919442289384,0.027397235042953882,0.027397234918091984,0.06007069896911399,0.6042780655345312,1.19,-0.3,0.99,0.01,85285,252,-0.3333%,0.0019,0.9696,0.5967,0.1536,5.1830%,5.2840%,3.7851%,-1.5586%,7
EDAP Announces University Of Chicago Medicine Is First Medical Center In Midwest To Offer Prostate Cancer Therapy Using Its Focal One Technology,2019-04-01,EDAP,2019-04-01 12:02:00+00:00,EDAP T M S S A,85285.0,26831110,-0.003333330154418945,0.4214046895503998,0.4648829882941261,0.5317725582981065,0.6086956410776037,0.7591974106008796,0.45484948134160574,-0.07357858966469255,0.0204081442207098,0.016949136929560016,0.051229919442289384,0.027397235042953882,0.027397234918091984,0.06007069896911399,0.6042780655345312,1.19,-0.3,0.99,0.01,85285,252,-0.3333%,0.0019,0.9696,0.5967,0.1536,5.1830%,5.2840%,3.7851%,-1.5586%,22
Energy Focus Shares Resume Trade,2019-04-01,EFOI,2019-04-01 21:15:00+00:00,ENERGY FOCUS INC,80812.0,29268T50,-0.05737709254026413,-0.5565217137336731,-0.5347825503079973,-0.5652173574361052,-0.4539129846418797,-0.3695651505548613,-0.5043477959941002,-0.6610434437731622,0.025210058316588402,0.008264453504970293,-0.008130074819404753,-2.4621932270818547e-09,-4.5479640053969206e-09,-0.06153840797605825,0.8856259465277296,1.19,-0.3,0.99,0.01,80812,252,-5.7377%,-0.0023,0.8916,0.4918,0.2698,4.5379%,4.6271%,3.8175%,-7.1800%,5
Energy Focus Shares To Resume Trade At 5:15 p.m. EDT,2019-04-01,EFOI,2019-04-01 20:50:00+00:00,ENERGY FOCUS INC,80812.0,29268T50,-0.05737709254026413,-0.5565217137336731,-0.5347825503079973,-0.5652173574361052,-0.4539129846418797,-0.3695651505548613,-0.5043477959941002,-0.6610434437731622,0.025210058316588402,0.008264453504970293,-0.008130074819404753,-2.4621932270818547e-09,-4.5479640053969206e-09,-0.06153840797605825,0.8856259465277296,1.19,-0.3,0.99,0.01,80812,252,-5.7377%,-0.0023,0.8916,0.4918,0.2698,4.5379%,4.6271%,3.8175%,-7.1800%,10
Energy Focus Says Concluded Review Of STrategic Alternatives And Determined That Strategic Financing Was Most Favorable Strategic Alternative Option To Shareholders At This Time,2019-04-01,EFOI,2019-04-01 20:47:00+00:00,ENERGY FOCUS INC,80812.0,29268T50,-0.05737709254026413,-0.5565217137336731,-0.5347825503079973,-0.5652173574361052,-0.4539129846418797,-0.3695651505548613,-0.5043477959941002,-0.6610434437731622,0.025210058316588402,0.008264453504970293,-0.008130074819404753,-2.4621932270818547e-09,-4.5479640053969206e-09,-0.06153840797605825,0.8856259465277296,1.19,-0.3,0.99,0.01,80812,252,-5.7377%,-0.0023,0.8916,0.4918,0.2698,4.5379%,4.6271%,3.8175%,-7.1800%,24
"Energy Focus Q4 EPS $(0.25) Misses $(0.15) Estimate, Sales $3.1M Miss $5.55M Estimate",2019-04-01,EFOI,2019-04-01 20:46:00+00:00,ENERGY FOCUS INC,80812.0,29268T50,-0.05737709254026413,-0.5565217137336731,-0.5347825503079973,-0.5652173574361052,-0.4539129846418797,-0.3695651505548613,-0.5043477959941002,-0.6610434437731622,0.025210058316588402,0.008264453504970293,-0.008130074819404753,-2.4621932270818547e-09,-4.5479640053969206e-09,-0.06153840797605825,0.8856259465277296,1.19,-0.3,0.99,0.01,80812,252,-5.7377%,-0.0023,0.8916,0.4918,0.2698,4.5379%,4.6271%,3.8175%,-7.1800%,13
