headline,date,ticker,datetime_utc,company_name,permno,cusip,ret,ret_fd1,ret_fd2,ret_fd3,ret_fd5,ret_fd10,ret_fd30,ret_fd60,ret_ld1,ret_ld2,ret_ld3,ret_ld5,ret_ld10,ret_ld30,ret_ld60,headline_word_count
Cameco Option Alert: Mar 20 $11 Calls Sweep (25) near the Ask: 2381 @ $0.15 vs 3789 OI; Earnings 2/7 After Close [est] Ref=$8.67,2019-12-23,CCJ,2019-12-23 14:42:00+00:00,CAMECO CORP,83188.0,13321L10,0.024305559694767,0.0011298615718260407,0.007909569746062717,-0.0022599383669996698,0.005649631745493711,0.005649631635592289,-0.022598954767893864,-0.2881356019484721,-0.018181800842285156,-0.013698617018830572,-0.01030918751963239,-0.05263152969421947,-0.11566018899965302,-0.09694716933988479,-0.09881873129110508,24
Cameco Option Alert: Jun 19 $9 Calls Sweep (2) near the Ask: 1200 @ $0.875 vs 648 OI; Earnings 2/7 After Close [est] Ref=$8.78,2019-12-20,CCJ,2019-12-20 16:02:00+00:00,CAMECO CORP,83188.0,13321L10,-0.01818180084228516,0.024305559694767,0.025462883184473872,0.03240737596045262,0.03009250890190418,0.04282406033383945,0.015046309805567981,-0.3009259575494724,0.00456620566546917,0.00801840231664741,-0.013452901433099074,-0.050701212292992515,-0.05274486119725885,-0.07251906267802077,-0.09154429085931437,24
Cameco Option Alert: Mar 20 $9 Calls at the Ask: 1500 @ $0.551 vs 19692 OI; Earnings 2/7 After Close [est] Ref=$8.73,2019-12-17,CCJ,2019-12-17 15:46:00+00:00,CAMECO CORP,83188.0,13321L10,-0.02130050770938396,0.003436504863202572,0.008018402316647633,-0.010309187519632168,0.014891194027302435,0.024054989376814495,-0.0756013605899426,-0.2840778577888604,-0.021929804235696793,-0.03775624186012183,-0.01978025167505959,-0.0219298021582901,-0.023001098375638906,-0.025165439523924582,-0.03976192613143292,22
Cameco Option Alert: Jan 17 $10 Calls at the Ask: 1789 @ $0.15 vs 12567 OI; Earnings 2/7 After Close [est] Ref=$9.12,2019-12-09,CCJ,2019-12-09 20:43:00+00:00,CAMECO CORP,83188.0,13321L10,-0.0665302500128746,-0.017543843016028404,-0.0021929271338427814,0.016447432958594632,-0.0219298021582901,-0.029605206725158095,-0.06359648119577677,-0.07017547657553669,0.05166851356625557,0.04491979146765401,0.06543079233589877,0.05621626514714362,0.022221961405452184,0.08063458948278956,0.027562747943916444,22
Cameco Option Alert: Jan 17 $10 Calls Sweep (44) near the Ask: 3170 @ $0.15 vs 12567 OI; Earnings 2/7 After Close [est] Ref=$9.155,2019-12-09,CCJ,2019-12-09 20:29:00+00:00,CAMECO CORP,83188.0,13321L10,-0.0665302500128746,-0.017543843016028404,-0.0021929271338427814,0.016447432958594632,-0.0219298021582901,-0.029605206725158095,-0.06359648119577677,-0.07017547657553669,0.05166851356625557,0.04491979146765401,0.06543079233589877,0.05621626514714362,0.022221961405452184,0.08063458948278956,0.027562747943916444,24
Shares of uranium producer Cameco are trading lower. Not currently seeing an company-specific news.,2019-12-09,CCJ,2019-12-09 16:53:00+00:00,CAMECO CORP,83188.0,13321L10,-0.0665302500128746,-0.017543843016028404,-0.0021929271338427814,0.016447432958594632,-0.0219298021582901,-0.029605206725158095,-0.06359648119577677,-0.07017547657553669,0.05166851356625557,0.04491979146765401,0.06543079233589877,0.05621626514714362,0.022221961405452184,0.08063458948278956,0.027562747943916444,14
Cameco shares are trading higher in sympathy with the overall market amid a rally in US equities following strong November jobs data. NOTE: The stock is also trading on above-average volume.,2019-12-06,CCJ,2019-12-06 20:10:00+00:00,CAMECO CORP,83188.0,13321L10,0.05166851356625557,-0.0665302500128746,-0.08290689676686003,-0.06857728115624273,-0.06653024803019847,-0.1156601889996528,-0.11566018855653604,-0.09928354279920293,-0.006417157128453255,0.013086137496856942,0.017524626911818997,-0.01064966736723616,-0.030016485832911277,0.003287740970420394,-0.007362912597517868,31
Cameco Option Alert: Jan 17 $9 Calls Sweep (23) near the Ask: 505 @ $0.696 vs 28619 OI; Ref=$9.4099,2019-12-05,CCJ,2019-12-05 14:35:00+00:00,CAMECO CORP,83188.0,13321L10,-0.006417157128453255,0.05166851356625557,-0.018299255571975648,-0.0355220593209391,-0.0021527983925931915,-0.05274486119725885,-0.058127012556891344,-0.06350916572602094,0.019629258662462234,0.024096414518469667,0.010810852442198371,0.004296451895557274,0.00010984544108083583,0.03304433363849468,0.03191158159109331,19
"Ball Shares Dip Over Past Few Minutes On Reports Florida Caribbean Distillery Plans To Invest $120M To Build Aluminum Beverage Plant: Citi Views This As Potential Negative For Ball, Crown Holdings And Ardagh",2019-12-06,CCK,2019-12-06 16:55:00+00:00,CROWN HOLDINGS INC,17726.0,22836810,-0.0214955136179924,-0.005121257156133652,-0.019946035253552208,-0.027493172267223476,-0.03315362787187537,-0.030727746097869546,0.012264202196152318,0.003773672205998446,0.005569528788328171,3.5663982878020306e-10,0.0010561301683480462,-0.003286014405682547,0.012416559746183164,0.09422797245210712,0.19135898869477708,33
"Nomura Maintains Neutral on Carnival, Lowers Price Target to $45",2019-12-24,CCL,2019-12-24 14:53:00+00:00,CARNIVAL CORP,75154.0,14365830,-0.006242678500711918,0.007656129077076912,0.007656129077076912,0.0015705111768444802,0.007263501481778123,-0.034157790522055476,-0.17157436158027328,-0.7616573055590262,0.020912153646349907,0.09882093553007998,0.10047222640060394,0.0908703233218997,0.12882621666698024,0.15107144695402952,0.18989824876882233,10
